Location,percentage,
Alabama,0.77,
Alaska,4.56,
Arizona,6.10,
Arkansas,1.03,
California,1.97,
Colorado,2.74,
Connecticut,0.44,
Delaware,0.57,
District of Columbia,0.40,
Florida,0.75,
Georgia,0.82,
Hawaii,5.17,
Idaho,26.42,
Illinois,0.45,
Indiana,0.67,
Iowa,0.90,
Kansas,1.29,
Kentucky,0.79,
Louisiana,0.64,
Maine,0.82,
Maryland,0.72,
Massachusetts,0.40,
Michigan,0.45,
Minnesota,0.59,
Mississippi,0.73,
Missouri,1.16,
Montana,4.81,
Nebraska,1.30,
Nevada,6.21,
New Hampshire,0.65,
New Jersey,0.37,
New Mexico,3.35,
New York,0.41,
North Carolina,0.84,
North Dakota,1.49,
Ohio,0.53,
Oklahoma,1.21,
Oregon,3.76,
Pennsylvania,0.40,
Rhode Island,0.39,
South Carolina,0.81,
South Dakota,1.21,
Tennessee,0.75,
Texas,1.25,
Utah,67.70,
Vermont,0.73,
Virginia,1.13,
Washington,3.94,
West Virginia,0.93,
Wisconsin,0.46,
Wyoming,11.53,
Totals,2.04,
